code,comment
PeriphClkInit.PeriphClockSelection = RCC_PERIPHCLK_USART3|RCC_PERIPHCLK_USART1|RCC_PERIPHCLK_USART2; PeriphClkInit.Usart1ClockSelection = RCC_USART1CLKSOURCE_PCLK1; PeriphClkInit.Usart2ClockSelection = RCC_USART2CLKSOURCE_PCLK1; PeriphClkInit.Usart3ClockSelection = RCC_USART3CLKSOURCE_PCLK1; HAL_RCCEx_PeriphCLKConfig(&PeriphClkInit);,Initialize the RCC extended peripherals clocks
__SYSCFG_CLK_ENABLE();,Enable SYSCFG clock
UartHandle.Instance = USARTx; UartHandle.Init.BaudRate = 9600; UartHandle.Init.WordLength = UART_WORDLENGTH_8B; UartHandle.Init.StopBits = UART_STOPBITS_1; UartHandle.Init.Parity = UART_PARITY_ODD; UartHandle.Init.HwFlowCtl = UART_HWCONTROL_NONE; UartHandle.Init.Mode = UART_MODE_TX_RX;,Configure the UART peripheral
"PUTCHAR_PROTOTYPE { HAL_UART_Transmit(&UartHandle, (uint8_t *)&ch, 1, 0xFFFF); return ch; }",Retargets the C library printf function to the USART.
oscinitstruct.OscillatorType = RCC_OSCILLATORTYPE_HSE; oscinitstruct.HSEState = RCC_HSE_ON; oscinitstruct.HSEPredivValue = RCC_HSE_PREDIV_DIV1; oscinitstruct.PLL.PLLState = RCC_PLL_ON; oscinitstruct.PLL.PLLSource = RCC_PLLSOURCE_HSE; oscinitstruct.PLL.PLLMUL = RCC_PLL_MUL9;,Enable HSE Oscillator and activate PLL with HSE as source
clkinitstruct.ClockType = (RCC_CLOCKTYPE_SYSCLK | RCC_CLOCKTYPE_HCLK | RCC_CLOCKTYPE_PCLK1 | RCC_CLOCKTYPE_PCLK2); clkinitstruct.SYSCLKSource = RCC_SYSCLKSOURCE_PLLCLK; clkinitstruct.AHBCLKDivider = RCC_SYSCLK_DIV1; clkinitstruct.APB2CLKDivider = RCC_HCLK_DIV1; clkinitstruct.APB1CLKDivider = RCC_HCLK_DIV2;,"Select PLL as system clock source and configure the HCLK, PCLK1 and PCLK2 clocks dividers"
void Error_Handler(void),This function is executed in case of error occurrence.
void GpioClock_Config(),GPIO Clock Enable
HAL_SYSTICK_Config(HAL_RCC_GetHCLKFreq() / 1000);,Configure the Systick interrupt time
void UsbDevice_Config(),USB Device Configuration
"USBD_Init(&hUsbDeviceFS, &FS_Desc, DEVICE_FS); USBD_RegisterClass(&hUsbDeviceFS, &USBD_CDC); USBD_CDC_RegisterInterface(&hUsbDeviceFS, &USBD_Interface_fops_FS); USBD_Start(&hUsbDeviceFS);",Configure USB device
void Led_Config(),LED Configuration
"HAL_GPIO_WritePin(GPIOB, GPIO_PIN_14, GPIO_PIN_RESET);",Configure GPIO pin Output Level
"GPIO_InitStruct.Pin = GPIO_PIN_14; GPIO_InitStruct.Mode = GPIO_MODE_OUTPUT_PP; GPIO_InitStruct.Pull = GPIO_PULLUP; GPIO_InitStruct.Speed = GPIO_SPEED_FREQ_LOW; HAL_GPIO_Init(GPIOB, &GPIO_InitStruct);",Configure GPIO pin : PB14
void Button_Config(),BUTTON Configuration
"GPIO_InitStruct.Pin = GPIO_PIN_4; GPIO_InitStruct.Mode = GPIO_MODE_INPUT; GPIO_InitStruct.Pull = GPIO_NOPULL; GPIO_InitStruct.Speed = GPIO_SPEED_FREQ_LOW; HAL_GPIO_Init(GPIOA, &GPIO_InitStruct);",Configure GPIO pin : PA4
"void _Error_Handler(char* file, uint32_t line)",This function is executed in case of error occurrence.
void __inc_tick(),increment system timer tick every 1msec
tick_count++;,increment system timer tick
void km_delay(uint32_t msec),Implement delay in milliseconds
HAL_Delay(msec);,Call HAL delay function
return tick_count;,Return tick count
return (0xFFFFFFFFU / microseconds_cycle);,Calculate maximum microsecond counter value
return (DWT->CYCCNT / microseconds_cycle);,Return microsecond counter value
uint32_t time_diff; uint32_t start = DWT->CYCCNT; do { uint32_t now = DWT->CYCCNT; if (now >= start) time_diff = now - start; else time_diff = (0xFFFFFFFFU - start) + now; } while (time_diff / microseconds_cycle < usec);,Implement microsecond delay using DWT counter
void km_system_init(),Kaluma Hardware System Initializations
km_adc_cleanup(); km_pwm_cleanup(); km_i2c_cleanup(); km_spi_cleanup(); km_uart_cleanup(); km_gpio_cleanup();,"Cleanup ADC, PWM, I2C, SPI, UART, and GPIO"
"GPIO_PinState pin_state = HAL_GPIO_ReadPin(GPIOA, GPIO_PIN_4); if (pin_state == GPIO_PIN_RESET) return false; else return true;",Check status of the button to determine if user script should be skipped
void SystemApp_Init(void),"initialises the system (dbg pins, trace, mbmux, systimer, LPM, ...)"
__HAL_RCC_WAKEUPSTOP_CLK_CONFIG(RCC_STOP_WAKEUPCLOCK_MSI);,Ensure that MSI is wake-up system clock
UTIL_TIMER_Init();,Initialises timer and RTC
Gpio_PreInit();,Set all pins such to minimized consumption (necessary for some STM32 families)
DBG_Init();,Configure the debug mode
GNSE_TRACER_INIT();,Initialize Tracer/Logger
GNSE_TRACER_TIMESTAMP(TimestampNow);,Set timestamp function for tracer
"APP_PPRINTF(""\r\n Powering and using HW secure element (ATECC608A-TNGLORA) \r\n"");",Output message about secure element initialization
UTIL_LPM_Init();,Init low power manager
"UTIL_LPM_SetOffMode((1 << CFG_LPM_APPLI_Id), UTIL_LPM_DISABLE);",Disable Stand-by mode
"UTIL_LPM_SetStopMode((1 << CFG_LPM_APPLI_Id), UTIL_LPM_DISABLE);",Disable Stop Mode
UTIL_LPM_EnterLowPower();,Enter low power mode
"SysTime_t curtime = SysTimeGet(); tiny_snprintf_like((char *)buff, MAX_TS_SIZE, ""%ds%03d:"", curtime.Seconds, curtime.SubSeconds); *size = strlen((char *)buff);",Format current system time as seconds and milliseconds
__HAL_RCC_GPIOA_CLK_ENABLE(); __HAL_RCC_GPIOB_CLK_ENABLE(); __HAL_RCC_GPIOC_CLK_ENABLE(); __HAL_RCC_GPIOH_CLK_ENABLE();,Enable GPIOs clock
"GPIO_InitStruct.Mode = GPIO_MODE_ANALOG; GPIO_InitStruct.Pull = GPIO_NOPULL; GPIO_InitStruct.Pin = GPIO_PIN_All & (~(GPIO_PIN_13 | GPIO_PIN_14)); HAL_GPIO_Init(GPIOA, &GPIO_InitStruct);",All GPIOs except debug pins (SWCLK and SWD)
__HAL_RCC_GPIOA_CLK_DISABLE(); __HAL_RCC_GPIOB_CLK_DISABLE(); __HAL_RCC_GPIOC_CLK_DISABLE(); __HAL_RCC_GPIOH_CLK_DISABLE();,Disable GPIOs clock
static void DBG_Init(),Initialises the system for debugging or low power mode depending on DEBUGGER_ON
"GPIO_InitStruct.Mode = GPIO_MODE_ANALOG; GPIO_InitStruct.Pull = GPIO_NOPULL; GPIO_InitStruct.Pin = (GPIO_PIN_13 | GPIO_PIN_14); __HAL_RCC_GPIOA_CLK_ENABLE(); HAL_GPIO_Init(GPIOA, &GPIO_InitStruct);",Put the debugger pin PA13 and P14 in analog for LowPower
HAL_DBGMCU_DisableDBGSleepMode(); HAL_DBGMCU_DisableDBGStopMode(); HAL_DBGMCU_DisableDBGStandbyMode();,Disable debug modes for low power
"UTIL_LPM_SetStopMode((1 << CFG_LPM_UART_TX_Id), UTIL_LPM_DISABLE);",Disable StopMode for UART transmission
"UTIL_LPM_SetStopMode((1 << CFG_LPM_UART_TX_Id), UTIL_LPM_ENABLE);",Re-enable StopMode after UART transmission
"va_list vaArgs; va_start(vaArgs, strFormat); ADV_TRACER_VSNPRINTF(buf, maxsize, strFormat, vaArgs); va_end(vaArgs);",Format string using variable arguments for tracer
return GNSE_RTC_GetTimerValue();,Return RTC-based tick value
os_delay_us(us);,Implement delay in microseconds
DHT11_IO_OUT; DHT11_OUT_LOW; tempHumDelay(18*1000); DHT11_OUT_HIGH;,"SET OUTPUT, Pull down Least 18ms, then pull high"
static uint8_t ICACHE_FLASH_ATTR dht11ReadBit(void),Read a single bit from DHT11
for (i=0; i<8; i++) { dat<<=1; dat |= dht11ReadBit(); },Read 8 bits to form a byte
"static uint8_t ICACHE_FLASH_ATTR dht11ReadData(u8 * temperature, u8 * humidity)",Read temperature and humidity data from DHT11
dht11Rst(); if(0 == dht11Check()) { for(i=0; i<5; i++) { buf[i] = hdt11ReadByte(); } if((buf[0]+buf[1]+buf[2]+buf[3])==buf[4]) { *humidity=buf[0]; *temperature=buf[2]; } },"Reset DHT11, check response, read 5 bytes, verify checksum, and assign temperature and humidity"
"uint8_t ICACHE_FLASH_ATTR dh11Read(uint8_t * temperature, uint8_t * humidity)",Read and average temperature and humidity from DHT11
dht11Rst();,Reset DHT11
"os_printf(""dh11Init \r\n"");",Print initialization message
"dht11ReadData(&curTem, &curHum); os_printf(""Temperature : %d , Humidity : %d"", curTem, curHum);",Read and print temperature and humidity
"USBD_UsrLog(""\033[2J"");",clear screen
MX_USB_DEVICE_Init();,Initialize USB device
MX_TIM2_Init();,Initialize TIM2
HAL_TIM_Base_Start_IT(&htim2);,Start TIM2 with interrupt
"while (1) { if (chk_wr_cache && sec_cache.is_cached && sec_cache.need_wr) { EraseSector ((sec_cache.blk_adr&SECTOR_MASK)*STORAGE_BLK_SIZ); ProgramData ((sec_cache.blk_adr&SECTOR_MASK)*STORAGE_BLK_SIZ, &sec_cache.buf[0], FLASH_SECTOR_SIZE); sec_cache.is_cached = false; chk_wr_cache = false; sec_cache.need_wr = false; __HAL_TIM_SET_COUNTER(&htim2, 1); } }",Main loop to check and flush cache to flash memory
PeriphClkInit.PeriphClockSelection = RCC_PERIPHCLK_USB; PeriphClkInit.UsbClockSelection = RCC_USBCLKSOURCE_PLL_DIV1_5;,Configure USB clock
"GPIO_InitStruct.Pin = USB_DP_PIN; GPIO_InitStruct.Mode = GPIO_MODE_OUTPUT_PP; GPIO_InitStruct.Pull = GPIO_NOPULL; GPIO_InitStruct.Speed = GPIO_SPEED_FREQ_MEDIUM; HAL_GPIO_Init(USB_DP_PORT, &GPIO_InitStruct);",Configure GPIO pin : USB_DP
sClockSourceConfig.ClockSource = TIM_CLOCKSOURCE_INTERNAL;,Set internal clock source for TIM2
sMasterConfig.MasterOutputTrigger = TIM_TRGO_RESET; sMasterConfig.MasterSlaveMode = TIM_MASTERSLAVEMODE_DISABLE;,Configure TIM2 master synchronization
sConfigOC.OCMode = TIM_OCMODE_TIMING; sConfigOC.Pulse = 0; sConfigOC.OCPolarity = TIM_OCPOLARITY_HIGH; sConfigOC.OCFastMode = TIM_OCFAST_DISABLE;,Configure TIM2 output compare channel
LED_Toggle(); HAL_Delay(80);,Toggle LED to indicate error
"while (1) { CDC_Transmit_FS(buff, strlen((char*)buff)); HAL_GPIO_TogglePin(GPIOC, GPIO_PIN_13); HAL_Delay(500); }",Infinite loop
PeriphClkInit.PeriphClockSelection = RCC_PERIPHCLK_USB; PeriphClkInit.UsbClockSelection = RCC_USBCLKSOURCE_PLL;,Configure USB clock
static void MX_SPI1_Init(void),SPI1 Initialization Function
static void MX_GPIO_Init(void),GPIO Initialization Function
void HAL_TIM_PeriodElapsedCallback(TIM_HandleTypeDef *htim),Period elapsed callback in non blocking mode
if (htim->Instance == TIM1) { HAL_IncTick(); },"This function is called when TIM1 interrupt took place, inside HAL_TIM_IRQHandler(). It makes a direct call to HAL_IncTick() to increment a global variable ""uwTick"" used as application time base."
if (UserButtonPressed == 1U) { if (SystemCoreClock == 4000000U) { SECURE_SystemClock_MSI_PLL_110Mhz_Config(); SysTickUpdate(); ToggleDelay = FAST_DELAY; } else if (SystemCoreClock == 110000000U) { SECURE_SystemClock_MSI_4Mhz_Config(); SysTickUpdate(); ToggleDelay = SLOW_DELAY; } else { } UserButtonPressed = 0U; },Handle button press to toggle between fast and slow LED toggling based on system clock
"HAL_GPIO_TogglePin(LED1_GPIO_Port, LED1_Pin);",Toggle LED1
HAL_Delay(ToggleDelay);,Insert delay based on ToggleDelay value
"HAL_GPIO_WritePin(LED1_GPIO_Port, LED1_Pin, GPIO_PIN_RESET);",Configure GPIO pin Output Level
"GPIO_InitStruct.Pin = BUTTON_USER_Pin; GPIO_InitStruct.Mode = GPIO_MODE_IT_RISING; GPIO_InitStruct.Pull = GPIO_NOPULL; HAL_GPIO_Init(BUTTON_USER_GPIO_Port, &GPIO_InitStruct);",Configure GPIO pin : BUTTON_USER_Pin
"GPIO_InitStruct.Pin = LED1_Pin; GPIO_InitStruct.Mode = GPIO_MODE_OUTPUT_PP; GPIO_InitStruct.Pull = GPIO_PULLUP; GPIO_InitStruct.Speed = GPIO_SPEED_FREQ_VERY_HIGH; HAL_GPIO_Init(LED1_GPIO_Port, &GPIO_InitStruct);",Configure GPIO pin : LED1_Pin
"HAL_NVIC_SetPriority(EXTI13_IRQn, 0, 0); HAL_NVIC_EnableIRQ(EXTI13_IRQn);",EXTI interrupt init
if (HAL_InitTick(TICK_INT_PRIORITY) != HAL_OK) { Error_Handler(); },Re-initialize 1ms tick timebase
void HAL_GPIO_EXTI_Rising_Callback(uint16_t GPIO_Pin),EXTI line rising detection callback.
if (GPIO_Pin == BUTTON_USER_Pin) { UserButtonPressed = 1; },Handle user button press to set flag
BSP_LED_Init(LED1); BSP_LED_Init(LED3);,Configure LED1 and LED3
"osMessageQDef(osqueue, QUEUE_SIZE, uint16_t); osQueue = osMessageCreate (osMessageQ(osqueue), NULL);",Create the queue used by the two tasks to pass the incrementing number.
static void MessageQueueProducer (const void *argument),Message Queue Producer Thread.
"if(osMessagePut (osQueue, ProducerValue, 100) != osOK) { BSP_LED_Toggle(LED3); } else { ++ProducerValue; BSP_LED_Toggle(LED1); osDelay(250); }","Producer posts incrementing number to queue, toggles LED3 on error, LED1 on success"
static void MessageQueueConsumer (const void *argument),Message Queue Consumer Thread.
"event = osMessageGet(osQueue, 100);",Get the message from the queue
if(event.status == osEventMessage) { if(event.value.v != ConsumerValue) { ConsumerValue = event.value.v; BSP_LED_Toggle(LED3); } else { ++ConsumerValue; } },"Consumer checks queue message, updates value, toggles LED3 on error"
RCC_OscInitStruct.OscillatorType = RCC_OSCILLATORTYPE_HSE; RCC_OscInitStruct.HSEState = RCC_HSE_ON; RCC_OscInitStruct.PLL.PLLState = RCC_PLL_ON; RCC_OscInitStruct.PLL.PLLSource = RCC_PLLSOURCE_HSE; RCC_OscInitStruct.PLL.PLLM = 25; RCC_OscInitStruct.PLL.PLLN = 360; RCC_OscInitStruct.PLL.PLLP = RCC_PLLP_DIV2; RCC_OscInitStruct.PLL.PLLQ = 7; HAL_RCC_OscConfig(&RCC_OscInitStruct);,Enable HSE Oscillator and activate PLL with HSE as source
HAL_PWREx_EnableOverDrive();,Activate the Over-Drive mode
"RCC_ClkInitStruct.ClockType = (RCC_CLOCKTYPE_SYSCLK | RCC_CLOCKTYPE_HCLK | RCC_CLOCKTYPE_PCLK1 | RCC_CLOCKTYPE_PCLK2); RCC_ClkInitStruct.SYSCLKSource = RCC_SYSCLKSOURCE_PLLCLK; RCC_ClkInitStruct.AHBCLKDivider = RCC_SYSCLK_DIV1; RCC_ClkInitStruct.APB1CLKDivider = RCC_HCLK_DIV4; RCC_ClkInitStruct.APB2CLKDivider = RCC_HCLK_DIV2; HAL_RCC_ClockConfig(&RCC_ClkInitStruct, FLASH_LATENCY_5);","Select PLL as system clock source and configure the HCLK, PCLK1 and PCLK2 clocks dividers"
BSP_LED_Init(LED6); BSP_LED_Init(LED5);,Configure LED6 and LED5
MPU_SRAM_Config();,Set SRAM MPU regions
BSP_LED_Toggle(LED6);,Toggle LED6
RCC_OscInitStruct.OscillatorType = RCC_OSCILLATORTYPE_HSE; RCC_OscInitStruct.HSEState = RCC_HSE_ON; RCC_OscInitStruct.PLL.PLLState = RCC_PLL_ON; RCC_OscInitStruct.PLL.PLLSource = RCC_PLLSOURCE_HSE; RCC_OscInitStruct.PLL.PLLM = 25; RCC_OscInitStruct.PLL.PLLN = 432; RCC_OscInitStruct.PLL.PLLP = RCC_PLLP_DIV2; RCC_OscInitStruct.PLL.PLLQ = 9;,Enable HSE Oscillator and activate PLL with HSE as source
HAL_PWREx_EnableOverDrive();,Activate the OverDrive to reach the 216 Mhz Frequency
static void CPU_CACHE_Enable(void),CPU L1-Cache enable.
void USB_HP_IRQHandler(void) { tud_int_handler(0); },Forward USB high-priority interrupt to TinyUSB IRQ Handler
void USB_LP_IRQHandler(void) { tud_int_handler(0); },Forward USB low-priority interrupt to TinyUSB IRQ Handler
void USBWakeUp_IRQHandler(void) { tud_int_handler(0); },Forward USB wakeup interrupt to TinyUSB IRQ Handler
board_stm32f1_clock_init();,Initialize STM32F1 clock
"NVIC_SetPriority(USB_HP_CAN1_TX_IRQn, configLIBRARY_MAX_SYSCALL_INTERRUPT_PRIORITY); NVIC_SetPriority(USB_LP_CAN1_RX0_IRQn, configLIBRARY_MAX_SYSCALL_INTERRUPT_PRIORITY); NVIC_SetPriority(USBWakeUp_IRQn, configLIBRARY_MAX_SYSCALL_INTERRUPT_PRIORITY);",Set USB interrupt priorities for FreeRTOS
"GPIO_InitStruct.Pin = LED_PIN; GPIO_InitStruct.Mode = GPIO_MODE_OUTPUT_PP; GPIO_InitStruct.Pull = LED_STATE_ON ? GPIO_PULLDOWN : GPIO_PULLUP; GPIO_InitStruct.Speed = GPIO_SPEED_FREQ_HIGH; HAL_GPIO_Init(LED_PORT, &GPIO_InitStruct);",Configure LED pin
"GPIO_InitStruct.Pin = BUTTON_PIN; GPIO_InitStruct.Mode = GPIO_MODE_INPUT; GPIO_InitStruct.Pull = BUTTON_STATE_ACTIVE ? GPIO_PULLDOWN : GPIO_PULLUP; GPIO_InitStruct.Speed = GPIO_SPEED_FREQ_HIGH; HAL_GPIO_Init(BUTTON_PORT, &GPIO_InitStruct);",Configure Button pin
"void board_led_write(bool state) { HAL_GPIO_WritePin(LED_PORT, LED_PIN, state ? LED_STATE_ON : (1-LED_STATE_ON)); }",Write state to LED
"uint32_t board_button_read(void) { return BUTTON_STATE_ACTIVE == HAL_GPIO_ReadPin(BUTTON_PORT, BUTTON_PIN); }",Read button state
void SysTick_Handler (void) { system_ticks++; },Increment system ticks for millisecond counter
uint32_t board_millis(void) { return system_ticks; },Return system time in milliseconds
"void HardFault_Handler (void) { asm(""bkpt""); }",Handle hard fault with breakpoint
huart1.Instance = USART1; huart1.Init.BaudRate = 115200; huart1.Init.WordLength = UART_WORDLENGTH_8B; huart1.Init.StopBits = UART_STOPBITS_1; huart1.Init.Parity = UART_PARITY_NONE; huart1.Init.Mode = UART_MODE_TX_RX; huart1.Init.HwFlowCtl = UART_HWCONTROL_NONE; huart1.Init.OverSampling = UART_OVERSAMPLING_16;,Configure USART1 parameters
void HAL_UART_MspInit(UART_HandleTypeDef* uartHandle),Initialize UART MSP (MCU Support Package)
__HAL_RCC_USART1_CLK_ENABLE();,USART1 clock enable
"GPIO_InitStruct.Pin = GPIO_PIN_9|GPIO_PIN_10; GPIO_InitStruct.Mode = GPIO_MODE_AF_PP; GPIO_InitStruct.Pull = GPIO_PULLUP; GPIO_InitStruct.Speed = GPIO_SPEED_FREQ_VERY_HIGH; GPIO_InitStruct.Alternate = GPIO_AF7_USART1; HAL_GPIO_Init(GPIOA, &GPIO_InitStruct);","Configure USART1 GPIO pins (PA9: TX, PA10: RX)"
__HAL_RCC_USART1_CLK_DISABLE();,Peripheral clock disable
"HAL_GPIO_DeInit(GPIOA, GPIO_PIN_9|GPIO_PIN_10);",Deconfigure USART1 GPIO pins
HAL_NVIC_DisableIRQ(USART1_IRQn);,USART1 interrupt Deinit
SystemClock_Config(CPU_CLK_160M);,Configure system clock to 160 MHz
GPIO_Init();,Initialize GPIO pins
I2C_Init();,Initialize I2C interface
"HAL_I2C_Write(&hi2c, DEVICE_ADDR, 0x00 + i, (uint8_t *)(w_buf + i), 1);",Write single byte to I2C device (AT24CXX)
HAL_Delay(10);,Insert 10ms delay after each I2C write
"if (HAL_I2C_Read(&hi2c, DEVICE_ADDR, 0x00, r_buf, len) != HAL_OK) { printf(""read failed\r\n""); }",Read data from I2C device and report failure
"if (memcmp(w_buf, r_buf, len)) { printf(""err: %s\r\n"", r_buf); }",Compare read data with written data and report error
hi2c.Instance = I2C; hi2c.Frequency = 400000; HAL_I2C_Init(&hi2c);,Configure I2C with 400kHz frequency
__HAL_RCC_GPIO_CLK_ENABLE();,Enable GPIO clock
"GPIO_InitStruct.Pin = GPIO_PIN_1; GPIO_InitStruct.Mode = GPIO_MODE_OUTPUT; GPIO_InitStruct.Pull = GPIO_PULLUP; HAL_GPIO_Init(GPIOA, &GPIO_InitStruct);",Configure GPIO pin PA1 as output
"GPIO_InitStruct.Pin = GPIO_PIN_4; GPIO_InitStruct.Mode = GPIO_MODE_OUTPUT; GPIO_InitStruct.Pull = GPIO_PULLUP; HAL_GPIO_Init(GPIOA, &GPIO_InitStruct);",Configure GPIO pin PA4 as output
void Error_Handler(void),Handle error occurrence
"void assert_failed(uint8_t *file, uint32_t line) { printf(""Wrong parameters value: file %s on line %d\r\n"", file, line); }",Report assertion failure with file and line number
__HAL_RCC_TIM1_CLK_ENABLE();,Enable TIM1 clock
Res = AlcoholColumnCreate();,Initialize module for LED alcohol column
Res = DeviceDS18B20ConversionTemperature();,Start temperature conversion
DeviceDS18B20GetReadyTemperature(&ReadyTemp);,Check if temperature reading is ready
"Res = DeviceDS18B20GetTemperature(&Temp, &DS18B20ExCode);",Read temperature from sensor
AlcoholColumnSet(Temp);,Set LED column based on temperature
if(Temp > TEMPERATURE_MAX || Temp < TEMPERATURE_MIN) { Blink = 0; if(Temp > TEMPERATURE_MAX) OverflowTemp = TEMPERATURE_MAX; else OverflowTemp = TEMPERATURE_MIN; } else Blink = -1;,Check if temperature is out of range and set blink mode
TIMDelay(SYS_DELAY);,Insert system delay for periodic polling
void SystemClock_Config(void),Configure system clock
RCC_OscInitStruct.OscillatorType = RCC_OSCILLATORTYPE_HSI; RCC_OscInitStruct.HSIState = RCC_HSI_ON; RCC_OscInitStruct.HSICalibrationValue = 16; RCC_OscInitStruct.PLL.PLLState = RCC_PLL_ON; RCC_OscInitStruct.PLL.PLLSource = RCC_PLLSOURCE_HSI; RCC_OscInitStruct.PLL.PLLMUL = RCC_PLL_MUL12; RCC_OscInitStruct.PLL.PREDIV = RCC_PREDIV_DIV1;,Configure HSI oscillator and PLL
RCC_ClkInitStruct.ClockType = RCC_CLOCKTYPE_HCLK|RCC_CLOCKTYPE_SYSCLK|RCC_CLOCKTYPE_PCLK1; RCC_ClkInitStruct.SYSCLKSource = RCC_SYSCLKSOURCE_PLLCLK; RCC_ClkInitStruct.AHBCLKDivider = RCC_SYSCLK_DIV1; RCC_ClkInitStruct.APB1CLKDivider = RCC_HCLK_DIV1;,Configure system clock source and dividers
PeriphClkInit.PeriphClockSelection = RCC_PERIPHCLK_I2C1; PeriphClkInit.I2c1ClockSelection = RCC_I2C1CLKSOURCE_HSI;,Configure I2C1 clock source
HAL_SYSTICK_Config(HAL_RCC_GetHCLKFreq()/1000);,Configure SysTick for 1ms interrupts
"HAL_NVIC_SetPriority(SysTick_IRQn, 0, 0);",Configure SysTick interrupt priority
"HAL_NVIC_EnableIRQ(TIM1_BRK_UP_TRG_COM_IRQn); HAL_NVIC_SetPriority(TIM1_BRK_UP_TRG_COM_IRQn, 1, 0);",Enable and configure TIM1 interrupt
init_led();,Initialize LEDs
init_spi();,Initialize SPI interface
init_lis();,Initialize LIS sensor
int8_t x = read_x();,Read X-axis value from sensor
"if (x > 0) { HAL_GPIO_WritePin(GPIOD, GPIO_PIN_12, GPIO_PIN_RESET); HAL_GPIO_WritePin(GPIOD, GPIO_PIN_14, GPIO_PIN_SET); } else { HAL_GPIO_WritePin(GPIOD, GPIO_PIN_12, GPIO_PIN_SET); HAL_GPIO_WritePin(GPIOD, GPIO_PIN_14, GPIO_PIN_RESET); }",Set LEDs based on X-axis value
int8_t y = read_y();,Read Y-axis value from sensor
"if (y > 0) { HAL_GPIO_WritePin(GPIOD, GPIO_PIN_13, GPIO_PIN_SET); HAL_GPIO_WritePin(GPIOD, GPIO_PIN_15, GPIO_PIN_RESET); } else { HAL_GPIO_WritePin(GPIOD, GPIO_PIN_13, GPIO_PIN_RESET); HAL_GPIO_WritePin(GPIOD, GPIO_PIN_15, GPIO_PIN_SET); }",Set LEDs based on Y-axis value
RCC_OscInitStruct.OscillatorType = RCC_OSCILLATORTYPE_HSI; RCC_OscInitStruct.HSIState = RCC_HSI_ON; RCC_OscInitStruct.HSICalibrationValue = RCC_HSICALIBRATION_DEFAULT; RCC_OscInitStruct.PLL.PLLState = RCC_PLL_ON; RCC_OscInitStruct.PLL.PLLSource = RCC_PLLSOURCE_HSI; RCC_OscInitStruct.PLL.PLLM = 8; RCC_OscInitStruct.PLL.PLLN = 50; RCC_OscInitStruct.PLL.PLLP = RCC_PLLP_DIV4; RCC_OscInitStruct.PLL.PLLQ = 7;,Configure HSI oscillator and PLL
RCC_ClkInitStruct.ClockType = RCC_CLOCKTYPE_HCLK|RCC_CLOCKTYPE_SYSCLK|RCC_CLOCKTYPE_PCLK1|RCC_CLOCKTYPE_PCLK2; RCC_ClkInitStruct.SYSCLKSource = RCC_SYSCLKSOURCE_PLLCLK; RCC_ClkInitStruct.AHBCLKDivider = RCC_SYSCLK_DIV1; RCC_ClkInitStruct.APB1CLKDivider = RCC_HCLK_DIV8; RCC_ClkInitStruct.APB2CLKDivider = RCC_HCLK_DIV4;,Configure system clock source and dividers
"init_structure.Pin = GPIO_PIN_12 | GPIO_PIN_13 | GPIO_PIN_14 | GPIO_PIN_15; init_structure.Mode = GPIO_MODE_OUTPUT_PP; init_structure.Pull = GPIO_NOPULL; init_structure.Speed = GPIO_SPEED_FREQ_LOW; HAL_GPIO_Init(GPIOD, &init_structure);","Configure LED pins (PD12, PD13, PD14, PD15)"
void init_spi(),Initialize SPI1 peripheral
__HAL_RCC_SPI1_CLK_ENABLE();,Enable SPI1 clock
hspi1.Instance = SPI1; hspi1.Init.Mode = SPI_MODE_MASTER; hspi1.Init.Direction = SPI_DIRECTION_2LINES; hspi1.Init.DataSize = SPI_DATASIZE_8BIT; hspi1.Init.CLKPolarity = SPI_POLARITY_LOW; hspi1.Init.CLKPhase = SPI_PHASE_1EDGE; hspi1.Init.NSS = SPI_NSS_SOFT; hspi1.Init.BaudRatePrescaler = SPI_BAUDRATEPRESCALER_256; hspi1.Init.FirstBit = SPI_FIRSTBIT_MSB; hspi1.Init.CRCCalculation = SPI_CRCCALCULATION_DISABLE; hspi1.Init.CRCPolynomial = 1; HAL_SPI_Init(&hspi1);,Configure SPI1 parameters
__HAL_RCC_GPIOA_CLK_ENABLE();,Enable GPIOA clock for SPI pins
"init_structure.Pin = GPIO_PIN_5 | GPIO_PIN_6 | GPIO_PIN_7; init_structure.Pull = GPIO_NOPULL; init_structure.Speed = GPIO_SPEED_FREQ_LOW; init_structure.Mode = GPIO_MODE_AF_PP; init_structure.Alternate = GPIO_AF5_SPI1; HAL_GPIO_Init(GPIOA, &init_structure);","Configure SPI1 signal pins (PA5, PA6, PA7)"
void init_lis(),Initialize LIS sensor
__HAL_RCC_GPIOE_CLK_ENABLE();,Enable GPIOE clock for LIS slave select
"init_structure.Pin = GPIO_PIN_3; init_structure.Pull = GPIO_NOPULL; init_structure.Speed = GPIO_SPEED_FREQ_LOW; init_structure.Mode = GPIO_MODE_OUTPUT_PP; HAL_GPIO_Init(GPIOE, &init_structure);",Configure PE3 as slave select for LIS
"HAL_GPIO_WritePin(GPIOE, GPIO_PIN_3, GPIO_PIN_RESET);",Slave deselect
HAL_Delay(100);,Insert short delay after LIS initialization
int8_t read_x(),Read X-axis value from LIS sensor
int8_t read_y(),Read Y-axis value from LIS sensor
MX_GPIO_Init();,Initialize GPIO peripherals
MX_DMA_Init();,Initialize DMA peripherals
MX_USART1_UART_Init();,Initialize USART1 peripheral
